Crop,Temperature (°C),Humidity (%),Rainfall (mm),Soil Type,Soil pH,Soil Moisture (%),Wind Speed (km/h),Solar Radiation (W/m²),Weather Condition,Precipitation (mm),Evapotranspiration (ET),Growth Stage,Kc,Water Requirement (mm/day)
Rice,28.4,89.3,82.9,Silty Clay,6.3,38,8.3,203.3,Rainy,24.6,0.99,Fruiting,0.9,3.65
Rice,27.8,73,85.4,Silty Clay,6.1,34.7,5,199.7,Partly Cloudy,19.5,0.9,Germination,0.6,3.03
Rice,27.3,72.5,82.2,Silty Clay,5.8,38,3.5,203.3,Overcast,19.5,0.76,Vegetative,1.1,2.86
Rice,29.4,86.7,83.6,Silty Clay,6.4,35.3,7.8,207.9,Partly Cloudy,11.4,0.99,Flowering,1.2,2.33
Rice,26.7,89.3,105,Silty Clay,6.1,30.5,8.5,198.6,Rainy,22.5,1,Fruiting,0.9,3.45
Rice,26.7,72.1,111.2,Silty Clay,6.1,38.2,6.8,214.3,Overcast,20.4,1.1,Germination,0.6,3.36
Rice,26.9,83.8,82.2,Clayey,6.4,33.1,4.6,181.2,Overcast,24.1,0.68,Vegetative,1.1,3.23
Rice,26.8,73.3,83.4,Silty Clay,5.7,39.7,7.4,250.3,Overcast,18.5,1.17,Flowering,1.2,3.25
Rice,26.5,84.8,106.2,Silty Clay,5.8,34.9,7.7,185.5,Partly Cloudy,21.4,0.98,Fruiting,0.9,3.32
Rice,25.5,81.8,84.2,Clayey,5.6,33.7,2.5,213.2,Overcast,17.1,0.51,Germination,0.6,2.32
Rice,24.1,87.9,120,Silty Clay,5.5,39.6,5.1,238.6,Partly Cloudy,24.9,0.69,Vegetative,1.1,3.32
Rice,26.3,83.3,97,Clayey,6.2,34.8,5.1,253.1,Partly Cloudy,14.5,0.78,Flowering,1.2,2.39
Rice,28.8,81.1,91.3,Clayey,5.6,39.4,4.1,247.8,Overcast,19.4,0.73,Fruiting,0.9,2.82
Rice,25.9,73,85.4,Clayey,6.4,33.7,5.6,241.9,Overcast,23.7,0.98,Germination,0.6,3.55
Rice,28.3,78.5,91.8,Clayey,5.9,30.3,6.4,252.4,Overcast,13.4,1,Vegetative,1.1,2.54
Rice,25.1,87.1,119.3,Clayey,6.1,38.9,2.4,253.3,Rainy,21.3,0.44,Flowering,1.2,2.66
Rice,29.6,87.8,107.5,Clayey,5.9,35.3,6.6,243.7,Overcast,24.9,0.87,Fruiting,0.9,3.53
Rice,25.3,89.8,94.1,Clayey,5.8,39.3,5.1,182.7,Overcast,17.6,0.65,Germination,0.6,2.54
Rice,26.7,81,103.7,Clayey,5.8,33.2,2.5,199.9,Overcast,11,0.52,Vegetative,1.1,1.72
Rice,30,80.9,100.2,Clayey,6.2,32.1,3.1,224.4,Overcast,15,0.62,Flowering,1.2,2.24
Rice,26.9,72.1,102.6,Silty Clay,5.5,38.9,3.8,259.2,Rainy,11.6,0.84,Fruiting,0.9,2.17
Rice,26.4,85.2,84.4,Clayey,5.6,33.7,3.9,239.1,Partly Cloudy,23.5,0.62,Germination,0.6,3.09
Rice,26.5,85,98.9,Silty Clay,5.9,38.4,9.4,213.7,Overcast,24.3,1.16,Vegetative,1.1,3.82
Rice,26.6,80.6,108.4,Silty Clay,5.9,35.7,3.2,191.7,Overcast,21.9,0.59,Flowering,1.2,2.9
Rice,29,71.1,107.5,Clayey,5.7,37.2,5.3,221.4,Partly Cloudy,22.3,0.99,Fruiting,0.9,3.42
Rice,28.4,82.4,81.8,Silty Clay,5.9,38.4,2.6,236.8,Overcast,21.3,0.55,Germination,0.6,2.79
Rice,29.8,77.6,105,Silty Clay,5.7,35.9,2.8,254.7,Overcast,22.2,0.67,Vegetative,1.1,3.02
Rice,29.5,87.6,105.1,Silty Clay,6,35.4,5.5,198.7,Overcast,20.8,0.74,Flowering,1.2,2.97
Rice,29,87.3,101,Clayey,5.7,35.4,8.3,196.6,Overcast,26.6,1.02,Fruiting,0.9,3.88
Rice,29.3,78.7,113.1,Silty Clay,6.2,36.6,7.3,212.1,Rainy,23.7,1.07,Germination,0.6,3.65
Rice,27.4,75.7,105.1,Silty Clay,5.8,30.3,5.8,189.3,Rainy,19.9,0.93,Vegetative,1.1,3.11
Rice,25.7,89.5,99.9,Clayey,5.8,30.2,3.9,227.6,Partly Cloudy,12.2,0.55,Flowering,1.2,1.88
Rice,28.5,81.1,105.7,Silty Clay,5.7,33.2,5.3,226.2,Partly Cloudy,21.5,0.83,Fruiting,0.9,3.15
Rice,27.1,82.1,82.6,Clayey,5.8,32.4,2.3,188.5,Partly Cloudy,10.5,0.48,Germination,0.6,1.63
Rice,27.1,82.1,102.3,Clayey,6,30.8,9.3,187.8,Overcast,22.3,1.18,Vegetative,1.1,3.65
Rice,24.6,72.1,114.4,Silty Clay,5.8,30.2,4.7,244.9,Overcast,17.6,0.9,Flowering,1.2,2.84
Rice,27,80.4,117.1,Clayey,6.3,39.6,4.1,201.2,Overcast,29.2,0.7,Fruiting,0.9,3.76
Rice,25.9,79.4,86.5,Clayey,6.1,34.7,4.6,233.9,Partly Cloudy,16,0.78,Germination,0.6,2.54
Rice,27.6,78.2,91.5,Clayey,5.6,38,3.2,226.9,Overcast,24.8,0.66,Vegetative,1.1,3.27
Rice,28.9,71.1,108.9,Clayey,5.6,32.1,2.6,228,Rainy,12.8,0.73,Flowering,1.2,2.16
Rice,26.8,83.1,101.8,Clayey,6,38.6,4.5,216.8,Overcast,27.5,0.71,Fruiting,0.9,3.6
Rice,28.6,79.5,110.9,Clayey,6.1,35.1,8.6,236.9,Rainy,13.3,1.2,Germination,0.6,2.77
Rice,26.2,77.3,112.5,Silty Clay,6.4,38.5,2.4,234.2,Partly Cloudy,20.5,0.59,Vegetative,1.1,2.76
Rice,27.7,78.6,93.1,Clayey,6.2,30.1,2.6,252.3,Overcast,15,0.62,Flowering,1.2,2.24
Rice,27.2,85,81.6,Silty Clay,6,36.6,2.4,248.6,Partly Cloudy,12.9,0.48,Fruiting,0.9,1.87
Rice,26.9,81.6,92.8,Clayey,5.9,35.2,8.9,228.7,Partly Cloudy,24.8,1.18,Germination,0.6,3.9
Rice,25.1,74.6,101.9,Clayey,6.2,35.1,3.3,244.3,Rainy,12.2,0.72,Vegetative,1.1,2.08
Rice,28,72.1,96.6,Silty Clay,5.7,39.3,7.9,256.7,Partly Cloudy,20.2,1.26,Flowering,1.2,3.53
Rice,26.2,79.5,120,Silty Clay,5.7,34.5,5.4,222.6,Overcast,18.4,0.85,Fruiting,0.9,2.86
Rice,29,88.1,85.1,Silty Clay,5.7,37.3,9.8,257.3,Partly Cloudy,29.4,1.19,Germination,0.6,4.37
Rice,29.9,79.6,118.8,Silty Clay,6.1,39.8,8.2,239.6,Partly Cloudy,30,1.17,Vegetative,1.1,4.4
Rice,25.2,89.9,107.9,Silty Clay,5.5,31.5,9.6,201.8,Overcast,10.1,1.1,Flowering,1.2,2.33
Rice,24.8,81.8,92,Silty Clay,6,33.5,9.9,251.4,Rainy,12.4,1.27,Fruiting,0.9,2.76
Rice,29.6,70.3,86.8,Silty Clay,6.1,34.2,9.5,229.6,Partly Cloudy,21.6,1.44,Germination,0.6,3.89
Rice,25.5,78.7,84.6,Clayey,5.5,30.2,7.3,181.7,Rainy,10.6,1.02,Vegetative,1.1,2.28
Rice,29.3,72.8,116.6,Clayey,6,38.6,2.4,221.6,Rainy,21.3,0.68,Flowering,1.2,2.95
Rice,25.6,87.4,96.8,Clayey,5.9,30.1,2.7,204.4,Partly Cloudy,25.2,0.45,Fruiting,0.9,3.06
Rice,25.4,76.9,89.4,Clayey,6.4,31.2,4.9,193.3,Overcast,17.9,0.81,Germination,0.6,2.76
Rice,24.6,72.2,82.3,Clayey,5.9,36.4,6.1,209,Overcast,10.6,1,Vegetative,1.1,2.26
Rice,26.3,81.6,100,Clayey,6.2,35.2,4,203.5,Rainy,21.5,0.67,Flowering,1.2,2.95
Rice,27,74.6,110.5,Clayey,5.7,39.7,2.5,181.2,Partly Cloudy,12.8,0.6,Fruiting,0.9,2
Rice,27.9,72.4,98,Silty Clay,6.3,38,7.8,235,Partly Cloudy,27.7,1.22,Germination,0.6,4.23
Rice,27,86.3,114.9,Clayey,5.6,33.5,7.2,207.3,Rainy,16.8,0.92,Vegetative,1.1,2.78
Rice,24.5,73.5,84.6,Silty Clay,5.5,32.5,7.5,258.4,Partly Cloudy,26,1.16,Flowering,1.2,3.99
Rice,25.2,75.3,99.9,Clayey,5.6,34.2,4.8,190.2,Overcast,29.9,0.82,Fruiting,0.9,3.97
Rice,26.1,70.4,83.7,Silty Clay,6.3,39,7.5,183.2,Overcast,21.1,1.15,Germination,0.6,3.49
Rice,29.6,85.8,111.6,Silty Clay,6.4,34.2,6.6,184.2,Rainy,23,0.87,Vegetative,1.1,3.34
Rice,25.9,87.6,102,Clayey,6.3,37.3,2.1,252.8,Partly Cloudy,28.1,0.41,Flowering,1.2,3.3
Rice,24.8,78.6,88.4,Clayey,6.3,30.5,3.8,209,Overcast,19.6,0.68,Fruiting,0.9,2.78
Maize,23.4,77.3,61,Sandy Loam,7.1,26.2,9.7,270.5,Sunny,17.2,1.32,Germination,0.3,3.11
Maize,29.2,64.8,72.7,Sandy Loam,6.6,28.4,7.3,265.6,Partly Cloudy,6.8,1.35,Vegetative,0.8,2.1
Maize,21.4,60.1,61.9,Loamy,7.4,26.2,10.6,224.3,Partly Cloudy,17.4,1.6,Flowering,1.1,3.42
Maize,21,71.2,71.5,Loamy,7.1,34,7.2,218.2,Partly Cloudy,9.5,1.1,Fruiting,0.6,2.11
Maize,20,79.8,62.9,Loamy,6.3,29.7,11.8,223.4,Partly Cloudy,19.7,1.44,Germination,0.3,3.48
Maize,29.4,75.3,55.7,Loamy,7,25.8,8.5,210.6,Partly Cloudy,12,1.24,Vegetative,0.8,2.5
Maize,23.4,77.2,82.6,Loamy,6,29.5,6.2,236.8,Sunny,9.3,0.95,Flowering,1.1,1.93
Maize,23.6,69.8,68.9,Sandy Loam,7.1,32.6,5.6,273.7,Sunny,12.1,1.04,Fruiting,0.6,2.3
Maize,27.3,62.5,63.3,Sandy Loam,6.3,28.1,5.5,277,Partly Cloudy,19.3,1.2,Germination,0.3,3.19
Maize,22.7,73,78.6,Sandy Loam,6.4,31.3,11.6,219.5,Partly Cloudy,9.4,1.53,Vegetative,0.8,2.55
Maize,20.3,78.9,80.5,Loamy,6.2,32.8,11.1,254.1,Partly Cloudy,18.6,1.4,Flowering,1.1,3.33
Maize,27.9,66.8,63.6,Sandy Loam,5.6,30.2,11.6,266.6,Partly Cloudy,19.1,1.73,Fruiting,0.6,3.73
Maize,28.7,76.7,52.4,Loamy,6.1,25.7,6.6,253.9,Sunny,8.9,1.06,Germination,0.3,2
Maize,27.6,62.5,58.2,Sandy Loam,6.8,33.2,7.4,276.9,Sunny,7.8,1.39,Vegetative,0.8,2.24
Maize,23.5,65.3,53.7,Sandy Loam,6.1,34.9,4.4,260.4,Sunny,5.3,0.97,Flowering,1.1,1.55
Maize,26.4,61.8,61.6,Sandy Loam,6.8,33,5.6,239.6,Partly Cloudy,6.5,1.16,Fruiting,0.6,1.87
Maize,30,63,67.4,Loamy,5.8,27.8,11.6,278.7,Sunny,13.5,1.84,Germination,0.3,3.28
Maize,22.5,68.7,78.8,Loamy,7.1,32.2,9.2,222.8,Sunny,6.6,1.35,Vegetative,0.8,2.08
Maize,20.3,76.7,62.1,Loamy,6.3,32.7,5,217.7,Sunny,13.2,0.8,Flowering,1.1,2.16
Maize,29.5,62.7,57.5,Loamy,5.7,33.2,5.6,214.2,Partly Cloudy,14.9,1.15,Fruiting,0.6,2.7
Maize,25.1,69.1,73.2,Loamy,7.4,31.9,4.3,253.8,Partly Cloudy,11.8,0.92,Germination,0.3,2.15
Maize,24.8,60.9,71,Loamy,6.1,27.4,9.4,276.2,Sunny,18.1,1.58,Vegetative,0.8,3.47
Maize,21.5,69.5,67.4,Sandy Loam,7,28.2,6.1,252.4,Sunny,16.4,1.05,Flowering,1.1,2.74
Maize,26.4,73.3,64.8,Loamy,5.9,32.2,6.8,231.3,Partly Cloudy,13.1,1.09,Fruiting,0.6,2.45
Maize,27.6,69.9,58.2,Loamy,7.3,28.2,11.5,210.1,Sunny,8.2,1.61,Germination,0.3,2.51
Maize,22.2,79.7,64.6,Sandy Loam,5.9,26.4,10,210.3,Sunny,18.1,1.27,Vegetative,0.8,3.14
Maize,28.3,70.7,75.9,Sandy Loam,7.4,34.7,7.3,275.2,Sunny,14.3,1.25,Flowering,1.1,2.74
Maize,25.2,62.3,89.5,Loamy,6.8,34.7,7.1,210.5,Partly Cloudy,7.8,1.25,Fruiting,0.6,2.09
Maize,29.5,68.4,67.6,Loamy,6.9,26.4,5.5,246.8,Partly Cloudy,13.5,1.09,Germination,0.3,2.49
Maize,21.8,75.8,85.4,Loamy,5.9,32.7,7.1,228.9,Sunny,14.8,1.04,Vegetative,0.8,2.57
Maize,28.7,72.9,88.7,Loamy,5.5,27.3,7.7,230.8,Partly Cloudy,14.6,1.21,Flowering,1.1,2.73
Maize,22.3,65.2,66.4,Sandy Loam,6.8,32.2,9,279.6,Partly Cloudy,6.7,1.44,Fruiting,0.6,2.18
Maize,25.8,79.9,53.6,Sandy Loam,5.8,26.2,10.1,254.7,Partly Cloudy,6.3,1.33,Germination,0.3,2.03
Maize,25.4,62.3,89.8,Loamy,7,31.1,5.1,240.3,Sunny,10.4,1.09,Vegetative,0.8,2.18
Maize,24.1,79.2,78.9,Sandy Loam,6.3,27.4,10.2,258.4,Partly Cloudy,13.9,1.34,Flowering,1.1,2.8
Maize,22.9,62.1,52.8,Loamy,7.5,35,5.1,270,Sunny,7.1,1.09,Fruiting,0.6,1.85
Maize,26.2,76,68.4,Sandy Loam,7,33.7,6.7,214.6,Sunny,10.3,1.03,Germination,0.3,2.11
Maize,20.8,66.2,58.1,Sandy Loam,5.5,29.7,9,279,Partly Cloudy,16.6,1.4,Vegetative,0.8,3.13
Maize,22.2,77.4,74.4,Loamy,7,31.9,11.9,264.5,Sunny,9.7,1.53,Flowering,1.1,2.58
Maize,23.5,68.3,70.6,Sandy Loam,6.5,28.8,6.3,223.6,Sunny,12.6,1.08,Fruiting,0.6,2.39
Maize,24,67,50.2,Sandy Loam,6.2,29.6,4.3,279.4,Partly Cloudy,15.9,0.96,Germination,0.3,2.6
Maize,29.5,61.7,88.5,Sandy Loam,6.6,29.1,6.2,279.8,Partly Cloudy,8.8,1.32,Vegetative,0.8,2.27
Maize,22.3,62.8,69.1,Sandy Loam,6.6,30,10.2,274,Partly Cloudy,9.8,1.59,Flowering,1.1,2.65
Maize,27.1,78.2,66.6,Loamy,6.5,29.7,6.7,213.1,Sunny,14,1,Fruiting,0.6,2.45
Maize,26.4,61.2,74.4,Loamy,5.8,25.4,6,217.1,Sunny,16.1,1.18,Germination,0.3,2.85
Maize,23.8,71.1,59.4,Sandy Loam,6.3,30.1,10.3,273.2,Partly Cloudy,15.4,1.49,Vegetative,0.8,3.1
Maize,26.5,78.8,71.9,Loamy,6.2,25.8,4.4,268.6,Sunny,5,0.79,Flowering,1.1,1.33
Maize,29.4,70.4,77.1,Loamy,5.6,29.6,10.4,279,Sunny,14.5,1.58,Fruiting,0.6,3.11
Maize,25.5,72.3,69.9,Loamy,7.1,28.3,6.1,249.3,Sunny,19.7,1.05,Germination,0.3,3.07
Maize,24.5,74.5,65.6,Loamy,7.4,30,4.2,217.7,Partly Cloudy,13.4,0.79,Vegetative,0.8,2.17
Maize,28.1,65.1,85.1,Loamy,6.5,34.1,10.4,219.3,Partly Cloudy,12.2,1.59,Flowering,1.1,2.89
Maize,29.4,77.1,50.2,Sandy Loam,6.3,30.7,7.4,241.7,Partly Cloudy,12.8,1.13,Fruiting,0.6,2.47
Maize,28.6,64.3,82.6,Loamy,6.6,32.2,9.1,257,Sunny,18.9,1.52,Germination,0.3,3.49
Maize,24.5,63.2,50.1,Loamy,7.5,25.4,10.1,217,Sunny,5.5,1.54,Vegetative,0.8,2.17
Maize,21,70.9,57,Sandy Loam,6.4,25.8,11.1,264.8,Partly Cloudy,6.7,1.53,Flowering,1.1,2.28
Maize,26.7,79.4,66.8,Sandy Loam,6.6,34.2,4.6,236.3,Sunny,18.1,0.78,Fruiting,0.6,2.63
Maize,27.5,70.4,69.9,Loamy,7.1,33.6,5.9,236.7,Sunny,5.4,1.06,Germination,0.3,1.65
Maize,27.9,65.3,89.9,Sandy Loam,7.2,30.7,7.7,240.9,Sunny,9.9,1.34,Vegetative,0.8,2.4
Maize,22.8,60.6,64.6,Sandy Loam,7.5,28,4.6,220.8,Partly Cloudy,8.6,1.01,Flowering,1.1,1.92
Maize,26.7,65.3,75.5,Loamy,5.8,27.2,4.7,262.8,Sunny,18,1.05,Fruiting,0.6,2.9
Maize,28.7,74.5,53.9,Sandy Loam,6.3,32.3,10.3,232.3,Partly Cloudy,5.6,1.45,Germination,0.3,2.08
Maize,27.1,71,65.1,Sandy Loam,6.6,28.6,7.2,246.4,Sunny,7.7,1.19,Vegetative,0.8,2.02
Maize,27.6,71.5,50.7,Loamy,6.9,31,7.1,217.4,Partly Cloudy,5.6,1.15,Flowering,1.1,1.77
Maize,21.2,71,75,Sandy Loam,5.9,26.4,10.5,227.6,Sunny,7.4,1.44,Fruiting,0.6,2.25
Maize,20.5,66.1,56.3,Loamy,6.6,26.9,5.5,217.1,Sunny,7,0.99,Germination,0.3,1.74
Maize,26.2,76.4,77.5,Sandy Loam,6.2,28.5,11,265,Sunny,10.5,1.49,Vegetative,0.8,2.61
Maize,22.5,66.9,70.3,Sandy Loam,6.5,25.4,9,273.5,Sunny,19.7,1.41,Flowering,1.1,3.45
Maize,26.9,66.7,59.8,Sandy Loam,6.6,32.4,4.4,222.8,Sunny,6.1,0.95,Fruiting,0.6,1.61
Maize,26.7,72.7,77.2,Loamy,6.6,28.3,7.2,278.4,Partly Cloudy,12.8,1.19,Germination,0.3,2.53
Maize,27.3,70,64.5,Loamy,5.5,28.6,5.6,224.8,Sunny,16.7,1.03,Vegetative,0.8,2.75
Maize,28,77.6,79.7,Sandy Loam,6.2,30.9,6.2,278.7,Sunny,12.8,1.01,Flowering,1.1,2.34
Maize,29.1,76.7,63.9,Sandy Loam,7.5,29,10,275,Partly Cloudy,8.6,1.42,Fruiting,0.6,2.35
Maize,23.9,69.3,87.9,Loamy,5.9,31.8,11.8,279.6,Partly Cloudy,8.8,1.67,Germination,0.3,2.63
Maize,27.5,66.9,78.9,Sandy Loam,6.9,25.4,7.7,263.5,Partly Cloudy,7.7,1.33,Vegetative,0.8,2.17
Maize,24,61,75.8,Sandy Loam,5.7,26.5,8.1,242.5,Sunny,17.4,1.39,Flowering,1.1,3.2
Maize,21.4,71.3,79,Sandy Loam,6.3,34.5,8.4,265.2,Partly Cloudy,12.4,1.26,Fruiting,0.6,2.56
Maize,27,72.4,89.4,Loamy,6.4,34.4,6.6,254.1,Sunny,6,1.11,Germination,0.3,1.77
Maize,22.1,68.8,56.7,Sandy Loam,6.5,31.9,8.7,259.1,Sunny,18.5,1.33,Vegetative,0.8,3.25
Maize,29.1,71.6,79.6,Loamy,5.8,26.5,10.1,240,Partly Cloudy,11.6,1.48,Flowering,1.1,2.71
Maize,24.9,76.5,68.4,Loamy,6.7,34.2,8,245.2,Sunny,14.2,1.16,Fruiting,0.6,2.64
Maize,29.2,73.6,64.7,Loamy,7.1,34.1,11.3,273.1,Partly Cloudy,5.4,1.6,Germination,0.3,2.22
Maize,20.2,65.3,78.6,Loamy,6.4,28.2,7,243.3,Sunny,19.3,1.17,Vegetative,0.8,3.16
Maize,29.2,78,76.5,Loamy,6.4,30,10.3,275.9,Sunny,18.2,1.43,Flowering,1.1,3.32
Maize,27.6,78.5,54.8,Sandy Loam,7,26.8,7.9,252,Sunny,16.6,1.15,Fruiting,0.6,2.87
Maize,20.3,66.8,56.6,Loamy,5.5,34,11.4,260.7,Sunny,9.3,1.61,Germination,0.3,2.62
Maize,26.3,68.4,61.6,Loamy,6.7,28,6.6,271.7,Partly Cloudy,19,1.19,Vegetative,0.8,3.15
Maize,23.8,62,69.3,Sandy Loam,7.3,27.6,9.4,216.7,Sunny,5.4,1.48,Flowering,1.1,2.09
Maize,27.1,72.6,89.3,Loamy,6.6,29.7,11.3,258.1,Partly Cloudy,10.2,1.58,Fruiting,0.6,2.68
Maize,22.5,76.6,65.2,Sandy Loam,7.1,30.2,9.3,244.2,Partly Cloudy,9.2,1.27,Germination,0.3,2.25
Maize,30,66,83,Sandy Loam,6.8,27.6,9.5,243.9,Partly Cloudy,17.3,1.53,Vegetative,0.8,3.34
Maize,29.4,62.7,62.9,Sandy Loam,6,25.8,10.6,252.8,Partly Cloudy,14.3,1.7,Flowering,1.1,3.22
Maize,28.5,79.4,70.6,Loamy,7.4,32,9.9,253.2,Partly Cloudy,19.6,1.34,Fruiting,0.6,3.37
Maize,25.3,79.9,50.6,Sandy Loam,5.6,26.2,7.3,267.1,Sunny,8.6,1.06,Germination,0.3,1.97
Maize,21.6,66.1,86.5,Loamy,6.2,34.4,10.2,266.2,Sunny,17.2,1.52,Vegetative,0.8,3.32
Maize,29.2,61.7,65.3,Sandy Loam,7.2,30.4,5,248.4,Sunny,11,1.15,Flowering,1.1,2.31
Maize,26.7,66.8,60.7,Sandy Loam,5.9,27.4,6.5,270.7,Sunny,6.5,1.21,Fruiting,0.6,1.92
Maize,29.5,68.1,63,Sandy Loam,5.7,32,11,232.6,Partly Cloudy,7.2,1.63,Germination,0.3,2.43
Maize,22.6,66.1,70.3,Sandy Loam,6.8,26.5,11.3,277.1,Sunny,5.7,1.65,Vegetative,0.8,2.3
Maize,28.2,60.8,54.9,Loamy,6.1,29.7,7.9,222.5,Partly Cloudy,7.5,1.41,Flowering,1.1,2.23
Maize,29.7,73.9,64.5,Loamy,6.4,25.5,8,250.5,Sunny,8.3,1.25,Fruiting,0.6,2.14
Maize,22.9,60.3,65.2,Sandy Loam,6.4,30.7,11.6,230.4,Sunny,9.8,1.72,Germination,0.3,2.79
Maize,20.1,79.8,55.8,Sandy Loam,7.5,28.1,10.3,218.6,Sunny,8.4,1.29,Vegetative,0.8,2.19
Maize,26.2,69.7,87,Loamy,6.4,27.4,9.9,229.4,Partly Cloudy,10.8,1.45,Flowering,1.1,2.6
Maize,21.3,64.3,73.4,Loamy,6.6,33.6,7.7,261.7,Partly Cloudy,11.8,1.29,Fruiting,0.6,2.53
Maize,27.2,76.9,85.5,Sandy Loam,7,29.1,5,275,Partly Cloudy,13.1,0.9,Germination,0.3,2.26
Maize,22.8,76.5,61,Sandy Loam,6.8,27.8,6.4,241,Partly Cloudy,19.2,0.98,Vegetative,0.8,2.95
Maize,22.4,77.7,64.7,Sandy Loam,6.1,34.2,10.9,244.8,Sunny,9.2,1.41,Flowering,1.1,2.4
Maize,27.5,76.4,89.3,Sandy Loam,6.4,29.7,5,234.1,Partly Cloudy,9.3,0.88,Fruiting,0.6,1.85
Maize,27.7,78.6,85.8,Sandy Loam,6.6,27.4,4.5,271.1,Sunny,8.6,0.82,Germination,0.3,1.72
Maize,25.2,60.3,71,Sandy Loam,5.9,33.2,8.3,263.1,Sunny,5.1,1.47,Vegetative,0.8,2.05
Maize,26.4,66.2,60.8,Sandy Loam,7.4,33.7,10.2,223.4,Sunny,13.7,1.53,Flowering,1.1,2.98
Maize,29.7,65.8,70.2,Sandy Loam,6,28.2,8.9,232.1,Sunny,15.4,1.46,Fruiting,0.6,3.07
Maize,28.1,75.1,65.2,Sandy Loam,6.8,29.5,5.8,253.6,Sunny,9.3,1,Germination,0.3,1.98
Maize,22.9,62.4,55.2,Sandy Loam,5.6,25.3,11.3,246.5,Sunny,14.6,1.68,Vegetative,0.8,3.22
Maize,23.8,65.3,77.7,Loamy,6.3,29.5,10.8,235.7,Sunny,9.5,1.59,Flowering,1.1,2.62
Maize,22.7,78.2,68.9,Sandy Loam,5.9,25.7,10.7,273.7,Sunny,8.7,1.41,Fruiting,0.6,2.35
Maize,21.1,72.5,81.7,Loamy,7.4,26.3,10.8,279.5,Sunny,19.3,1.49,Germination,0.3,3.49
Maize,26.3,62.2,82.1,Sandy Loam,7.1,29.4,6.4,249.8,Sunny,7.9,1.25,Vegetative,0.8,2.1
Maize,21.7,62.2,60.7,Sandy Loam,7,31.2,8.2,252.4,Sunny,9.4,1.37,Flowering,1.1,2.38
Maize,24.8,60.3,54.7,Loamy,5.5,34.6,9,239.1,Partly Cloudy,15.7,1.5,Fruiting,0.6,3.15
Maize,22.6,64.9,77.4,Loamy,5.7,26.6,7.1,256.6,Partly Cloudy,12.7,1.23,Germination,0.3,2.56
Maize,20.6,76.2,71.7,Sandy Loam,6.4,32.4,8.8,233.6,Partly Cloudy,9.8,1.2,Vegetative,0.8,2.24
Maize,27.8,73.6,70.6,Loamy,6.2,28.3,9.3,249,Partly Cloudy,14.1,1.37,Flowering,1.1,2.85
Maize,23.2,61.4,89.2,Loamy,7.4,26.2,11.3,256,Partly Cloudy,19.1,1.71,Fruiting,0.6,3.71
Maize,26.7,62.5,55.2,Loamy,7.3,27.6,6.2,252.1,Partly Cloudy,18.8,1.23,Germination,0.3,3.17
Maize,22.3,65.2,75.5,Sandy Loam,5.6,32.6,8.7,261.4,Sunny,17.9,1.39,Vegetative,0.8,3.25
Maize,26,73.2,70.2,Loamy,5.6,34.5,5.4,223.6,Sunny,5.2,0.94,Flowering,1.1,1.51
Maize,21.8,74.6,82.1,Sandy Loam,5.9,31.7,9.1,212.3,Sunny,6.5,1.25,Fruiting,0.6,1.96
Maize,21.2,75.6,72.5,Loamy,7.2,25.9,9.5,256.6,Partly Cloudy,19.8,1.3,Germination,0.3,3.35
Maize,23.7,64.1,74.7,Sandy Loam,6.9,26.4,10.2,266.9,Sunny,7,1.58,Vegetative,0.8,2.36
Maize,21.7,67.9,50.9,Loamy,5.7,31.4,9.6,218.9,Partly Cloudy,12.3,1.39,Flowering,1.1,2.69
Maize,22.9,75.1,61.6,Loamy,6.7,28.1,7.5,229.8,Partly Cloudy,14.7,1.1,Fruiting,0.6,2.62
Maize,22.9,66.3,86.7,Loamy,6.9,34.8,4.3,267.8,Sunny,14.3,0.95,Germination,0.3,2.43
Maize,24.9,73.1,65.4,Loamy,6.9,25.9,11,259.7,Partly Cloudy,7.1,1.53,Vegetative,0.8,2.32
Maize,20.5,77.4,62,Sandy Loam,6.8,26.5,9.1,217.7,Sunny,5.8,1.2,Flowering,1.1,1.84
Maize,26.4,79.3,63.3,Loamy,7.1,25.1,5.9,254.1,Partly Cloudy,9.1,0.93,Fruiting,0.6,1.89
Maize,20.6,78,83.2,Sandy Loam,6.8,28.7,6.1,279.5,Sunny,6.9,0.93,Germination,0.3,1.67
Maize,21.4,60,53.8,Loamy,6.7,28.8,6.2,217.1,Sunny,15.7,1.15,Vegetative,0.8,2.78
Maize,22.5,64.7,83.7,Sandy Loam,7.1,28.8,11.9,257.5,Sunny,7.3,1.72,Flowering,1.1,2.54
Maize,27.7,76.6,57.7,Loamy,7,33.4,10.6,271.9,Partly Cloudy,13.3,1.46,Fruiting,0.6,2.86
Maize,28.7,76.4,56.3,Loamy,7.4,28.1,9,269.8,Partly Cloudy,7.1,1.31,Germination,0.3,2.09
Maize,27.4,67,53,Loamy,7,30.3,4.8,232.8,Partly Cloudy,14,1,Vegetative,0.8,2.45
Maize,22.8,79,79.7,Sandy Loam,5.6,33.9,7.7,223.3,Partly Cloudy,14,1.06,Flowering,1.1,2.51
Maize,27.8,68.3,63.4,Loamy,6.6,26.2,9.4,214,Sunny,8.2,1.43,Fruiting,0.6,2.32
Maize,26.4,61.8,55.2,Sandy Loam,5.9,29.7,4.8,248.4,Partly Cloudy,11.6,1.09,Germination,0.3,2.3
